Dish,Review,Sentiment
Manchurian,The Manchurian was poor quality and I did not like it.,0
Veg Biryani,The Veg Biryani was very tasty however slightly overcooked.,1
French Fries,The French Fries was not fresh though it had some super satisfying elements.,0
Roti,The Roti was poor quality and I did not like it.,0
Momos,The Momos was very tasty but slightly burnt taste.,1
Mango Juice,The Mango Juice was rich and flavorful but slightly undercooked.,1
Spring Roll,The Spring Roll was rich and flavorful and I really enjoyed it.,1
Vada,The Vada was very tasty but slightly not worth the price.,1
Spring Roll,The Spring Roll was bland and tasteless however it had some extremely fresh elements.,0
Pizza,The Pizza was not worth the price and I did not like it.,0
Gobi Manchurian,The Gobi Manchurian was rich and flavorful although slightly not fresh.,1
Roti,The Roti was not worth the price and I did not like it.,0
Noodles,The Noodles was too spicy and I did not like it.,0
Coffee,The Coffee was loved it although slightly cold when served.,1
Egg Biryani,The Egg Biryani was fantastic flavor but slightly bland and tasteless.,1
Masala Dosa,The Masala Dosa was cold when served however it had some extremely fresh elements.,0
Chicken Biryani,The Chicken Biryani was too dry and I did not like it.,0
Chicken Biryani,The Chicken Biryani was highly recommended although slightly very oily.,1
Spring Roll,The Spring Roll was too salty although it had some fantastic flavor elements.,0
Pav Bhaji,The Pav Bhaji was overcooked although it had some rich and flavorful elements.,0
Mutton Biryani,The Mutton Biryani was undercooked though it had some highly recommended elements.,0
Hot Chocolate,The Hot Chocolate was super satisfying and I really enjoyed it.,1
Chicken Biryani,The Chicken Biryani was great texture and I really enjoyed it.,1
Mutton Biryani,The Mutton Biryani was fantastic flavor though slightly very oily.,1
Chicken Biryani,The Chicken Biryani was undercooked although it had some extremely fresh elements.,0
Tea,The Tea was very tasty though slightly too salty.,1
Vada,The Vada was too salty and I did not like it.,0
Momos,The Momos was too salty however it had some excellent quality elements.,0
Upma,The Upma was great texture however slightly overcooked.,1
Veg Pulao,The Veg Pulao was perfectly cooked although slightly too dry.,1
Burger,The Burger was overcooked although it had some rich and flavorful elements.,0
Lassi,The Lassi was too dry but it had some great texture elements.,0
Burger,The Burger was too spicy though it had some loved it elements.,0
Mango Juice,The Mango Juice was highly recommended however slightly burnt taste.,1
Mutton Biryani,The Mutton Biryani was too spicy though it had some rich and flavorful elements.,0
Gulab Jamun,The Gulab Jamun was very tasty and I really enjoyed it.,1
